username,title,location,ID de la respuesta,Pregunta,Respuesta,Respuesta Correcta,block_key,state
ricardof,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,356dd9c5b5af42e7b287961137addfe9_2_1,Pregunta 1,a) La comprensión conceptual de la regla de Laplace.,a) La comprensión conceptual de la regla de Laplace.,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@356dd9c5b5af42e7b287961137addfe9,"{""correct_map"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {}}, ""last_submission_time"": ""2019-12-27T16:08:27Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": ""choice_0""}, ""seed"": 1}"
dancurimil,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,356dd9c5b5af42e7b287961137addfe9_2_1,Pregunta 1,b) El dominio procedimental en el uso de la regla de Laplace.,a) La comprensión conceptual de la regla de Laplace.,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@356dd9c5b5af42e7b287961137addfe9,"{""correct_map"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": {}}, ""last_submission_time"": ""2020-01-29T04:12:52Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""356dd9c5b5af42e7b287961137addfe9_2_1"": ""choice_1""}, ""seed"": 1}"
ThomasPM,Eol True or False XBlock,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Eol True or False XBlock,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@vof+block@f112a156f0a540d4a5f5c60b07bd5c6b,"{""attempts"": 2, ""score"": 0.3333333333333333, ""respuestas"": {""1"": ""verdadero"", ""3"": ""falso"", ""2"": ""verdadero""}, ""respondido"": true}"
flavio,Eol True or False XBlock,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Eol True or False XBlock,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@vof+block@f112a156f0a540d4a5f5c60b07bd5c6b,"{""attempts"": 1, ""score"": 1.0, ""respuestas"": {""1"": ""falso"", ""3"": ""verdadero"", ""2"": ""verdadero""}, ""respondido"": true}"
ricardof,Eol True or False XBlock,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Eol True or False XBlock,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@vof+block@f112a156f0a540d4a5f5c60b07bd5c6b,"{""attempts"": 1, ""score"": 1.0, ""respuestas"": {""1"": ""falso"", ""3"": ""verdadero"", ""2"": ""verdadero""}, ""respondido"": true}"
dancurimil,Eol True or False XBlock,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Eol True or False XBlock,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@vof+block@f112a156f0a540d4a5f5c60b07bd5c6b,"{""attempts"": 2, ""score"": 0.6666666666666666, ""respuestas"": {""1"": ""verdadero"", ""3"": ""verdadero"", ""2"": ""verdadero""}, ""respondido"": true}"
ThomasPM,Eol True or False XBlock,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Eol True or False XBlock,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@vof+block@7a98d35f5c44491083de606779f51407,"{""attempts"": 2, ""score"": 0.3333333333333333, ""respuestas"": {""1"": ""verdadero"", ""3"": ""falso"", ""2"": ""verdadero""}, ""respondido"": true}"
jromo,Eol True or False XBlock,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Eol True or False XBlock,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@vof+block@7a98d35f5c44491083de606779f51407,"{""attempts"": 2, ""score"": 1.0, ""respuestas"": {""1"": ""verdadero"", ""3"": ""verdadero"", ""2"": ""falso""}, ""respondido"": true}"
flavio,Eol True or False XBlock,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Eol True or False XBlock,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@vof+block@7a98d35f5c44491083de606779f51407,"{""attempts"": 1, ""score"": 1.0, ""respuestas"": {""1"": ""verdadero"", ""3"": ""verdadero"", ""2"": ""falso""}, ""respondido"": true}"
Maritza,Eol True or False XBlock,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Eol True or False XBlock,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@vof+block@7a98d35f5c44491083de606779f51407,"{""score"": 0.0, ""attempts"": 2, ""respuestas"": {""1"": ""falso"", ""3"": ""falso"", ""2"": ""verdadero""}, ""respondido"": true}"
